HF/qNRC2DIIS,HF/RS-RFO,HF/S-GEK,B3LYP/qNRC2DIIS,B3LYP/RS-RFO,B3LYP/S-GEK
-227.0262419414,-227.0262419422,-227.0262419417,-228.2756700199,-228.2756700198,-228.2756700197
-231.2097138887,-231.2097138887,-231.2097138885,-232.7240570380,-232.7240570378,-232.7240570377
-309.4428098908,-309.4428098908,-309.4428098907,-311.5036559181,-311.5036559176,-311.5036559182
-194.3024504008,-194.3024504013,-194.3024504012,-195.6421985657,-195.6421985656,-195.6421985655
-270.4593965288,-270.4593965287,-270.4593965287,-272.2192650711,-272.2192650710,-272.2192650709
-347.4130007343,-347.4130007344,-347.4130007345,-349.7114244410,-349.7114244420,-349.7114244415
-312.6996313896,-312.6996313896,-312.6996313896,-314.9464867854,-314.9464867849,-314.9464867853
-153.3724457341,-153.3724457342,-153.3724457340,-154.3126814600,-154.3126814600,-154.3126814598
-234.5899764933,-234.5899764967,-234.5899764966,-236.2768816416,-236.2768816416,-236.2768816413
-345.2240404239,-345.2240404239,-345.2240404238,-347.3798052838,-347.3798052842,-347.3798052842
-234.6415330156,-234.6415330155,-234.6415330156,-236.3206550318,-236.3206550316,-236.3206550315
-234.6299052545,-234.6299052544,-234.6299052546,-236.3211533723,-236.3211533720,-236.3211533722
-312.6624353905,-312.6624353905,-312.6624353903,-314.9206302272,-314.9206302274,-314.9206302272
-194.4279406949,-194.4279406949,-194.4279406949,-195.7949012977,-195.7949012977,-195.7949012979
-309.2663830673,-309.2663830674,-309.2663830673,-311.3385583172,-311.3385583173,-311.3385583172
-234.5536894580,-234.5536894579,-234.5536894579,-236.2538415088,-236.2538415088,-236.2538415087
-344.1645288565,-344.1645288564,-344.1645288565,-346.2584209964,-346.2584209962,-346.2584209962
-343.9351150162,-343.9351150175,-343.9351150163,-346.0489781908,-346.0489781929,-346.0489781907
-273.6955159628,-273.6955159628,-273.6955159628,-275.6679276357,-275.6679276276,-275.6679276357
-348.5053755528,-348.5053755527,-348.5053755527,-350.8357902400,-350.8357902399,-350.8357902399
-231.3550233257,-231.3550233257,-231.3550233256,-232.8569585978,-232.8569585978,-232.8569585977
-231.4392808507,-231.4392808507,-231.4392808506,-232.9184720925,-232.9184720925,-232.9184720924
